RECTYPE,URN,PCODE,TELNUM,TKS1EXP_L,PKS1EXP_L,TKS1EXP_M,PKS1EXP_M,TKS1EXP_H,PKS1EXP_H,TFSMCLA,PTFSMCLA,PT2MATH12,PT2READ12,PT2WRITTA12,TAPS,AVGLEVEL,PT2MATH12_B,PT2MATH12_G,PT2MATH12_L,PT2MATH12_M,PT2MATH12_H,PTREADX,PTREADAT,GAPN_3YR_RWMX_FSMCLA,GAPN_2YR_PRREAD_NOTFSMCLA,GAPN_2YR_PRWRIT_NOTFSMCLA,GAPN_3YR_PRMAT_NOTFSMCLA
1,100223,E5 0EG,020 89854380,14,27%,32,62%,6,12%,41,72%,98%,96%,96%,29.6,4A,96%,100%,93%,100%,100%,96%,0%,23,6,8,12
1,100224,N1 4BZ,020 72542517,7,23%,19,63%,4,13%,25,74%,93%,90%,94%,27.9,4B,100%,88%,100%,89%,SUPP,91%,0%,7,10,8,4
1,100225,E9 5ND,020 89854622,11,32%,23,68%,0,0%,33,77%,94%,79%,97%,26.2,4B,94%,94%,82%,100%,SUPP,67%,2%,4,-10,8,12
1,130303,E8 3EN,020 72546138,17,24%,40,56%,15,21%,34,46%,94%,86%,96%,28.9,4A,91%,97%,94%,95%,93%,91%,0%,9,-10,5,3
1,100252,N16 9PD,020 72544564,3,12%,17,65%,6,23%,7,26%,92%,100%,100%,29.9,4A,94%,89%,SUPP,94%,83%,100%,0%,21,10,8,-7
1,100258,N16 0QP,020 88024051,6,12%,35,69%,10,20%,26,46%,94%,96%,98%,30,5C,96%,92%,83%,94%,100%,95%,0%,18,10,8,4
1,100256,E5 9EY,020 88067275,5,19%,20,74%,2,7%,16,59%,100%,89%,100%,28.3,4A,100%,100%,SUPP,100%,SUPP,93%,0%,12,5,3,1
1,100257,N16 5PU,020 88027420,10,43%,12,52%,1,4%,15,54%,87%,83%,91%,27,4B,88%,86%,70%,100%,SUPP,75%,0%,-3,10,4,5
1,100263,E8 3DY,020 72541010,5,21%,18,75%,1,4%,18,72%,96%,96%,100%,29.5,4A,100%,91%,SUPP,94%,SUPP,92%,0%,15,10,8,1
1,100253,N16 6NR,020 88065446,21,38%,32,57%,3,5%,43,74%,91%,88%,93%,27.1,4B,86%,96%,76%,100%,SUPP,79%,0%,16,7,8,7
1,100250,E9 5PP,020 89855779,7,27%,16,62%,3,12%,22,76%,96%,65%,100%,27.6,4B,100%,92%,86%,100%,SUPP,76%,0%,29,-3,1,3
1,100229,E9 7JS,020 89856331,1,3%,19,66%,9,31%,12,40%,87%,83%,100%,30,5C,81%,93%,SUPP,89%,89%,90%,0%,-1,-2,5,-3
1,100230,E8 3RL,020 72544330,7,19%,22,59%,8,22%,28,74%,89%,89%,81%,28.4,4A,91%,86%,57%,100%,88%,87%,0%,22,6,-7,4
1,138241,E5 9AE,020 88001044,0,0%,0,0%,0,0%,2,14%,SUPP,SUPP,SUPP,24.9,4C,SUPP,SUPP,SUPP,SUPP,SUPP,71%,7%,SUPP,SUPP,,
1,134639,N16 5RP,020 88000022,8,44%,9,50%,1,6%,2,10%,94%,100%,100%,27.9,4B,SUPP,94%,88%,100%,SUPP,80%,0%,SUPP,SUPP,SUPP,SUPP
1,100261,E5 0BT,020 89865249,12,41%,14,48%,3,10%,25,83%,97%,86%,86%,26.9,4B,93%,100%,92%,100%,SUPP,83%,0%,21,10,0,4
1,100231,E5 0SH,020 89857898,18,25%,48,66%,7,10%,29,39%,96%,93%,97%,29.9,4A,94%,97%,83%,100%,100%,92%,0%,18,6,4,5
1,100232,E9 6LL,020 89855382,11,23%,27,56%,10,21%,39,76%,82%,77%,100%,27.8,4B,83%,80%,45%,93%,90%,80%,0%,3,-11,1,-10
1,100254,E5 8PH,020 89854259,8,31%,15,58%,3,12%,18,62%,96%,96%,100%,28.9,4A,94%,100%,88%,100%,SUPP,86%,0%,8,10,8,2
1,100233,E5 8RN,020 88066352,13,30%,26,59%,5,11%,27,60%,100%,100%,100%,31.3,5C,100%,100%,100%,100%,SUPP,100%,0%,29,7,8,12
1,139814,N16 6AA,01254 54021,,,,,,,,,,,,,,,,,,,,,,,,
1,100234,E9 7BB,020 89857785,18,35%,27,52%,7,13%,45,82%,100%,94%,100%,29.2,4A,100%,100%,100%,100%,100%,95%,0%,33,-5,8,12
1,100264,N1 4DG,020 72547353,3,10%,20,69%,6,21%,9,30%,100%,93%,97%,29.8,4A,100%,100%,SUPP,100%,100%,93%,0%,2,7,5,12
1,100259,N4 2HQ,020 88025366,4,16%,18,72%,3,12%,21,78%,92%,96%,80%,29.1,4A,90%,93%,SUPP,100%,SUPP,89%,0%,23,10,-6,12
1,100239,N16 8DF,020 72541589,15,33%,23,50%,8,17%,32,63%,98%,93%,98%,27.9,4B,100%,95%,93%,100%,100%,82%,0%,5,6,8,5
1,100235,E8 4ET,020 72541186,9,30%,15,50%,6,20%,19,63%,97%,97%,93%,30,5C,100%,94%,89%,100%,100%,90%,0%,20,10,8,12
1,100236,E2 8JG,020 77398162,4,10%,30,75%,6,15%,35,81%,93%,95%,88%,29.2,4A,92%,93%,SUPP,97%,100%,98%,0%,13,10,-17,10
